ts_unix,elapsed_s,ready,cpu_seconds_total,rss_bytes,open_fds,goroutines,heap_alloc_bytes,heap_objects,alloc_bytes_total,gc_seconds_total,in_flight_total,in_flight[page],messages_total
1785087130.02,36.156,1.0,27.067998,,5127.0,6756.0,144463936.0,679595.0,8559602072.0,7.160617,23.0,23.0,365583.0
1785087131.023,37.159,1.0,27.755304,,5179.0,5566.0,120672128.0,403864.0,8755634664.0,7.190333,1.0,1.0,371061.0
1785087132.028,38.164,1.0,28.718885,,5180.0,5845.0,146953272.0,672837.0,9091154016.0,7.346723,126.0,126.0,384853.0
1785087133.031,39.168,1.0,29.267955,,5321.0,5472.0,114267216.0,442041.0,9287074816.0,7.397565,2.0,2.0,392091.0
1785087134.039,40.175,1.0,29.74583,,5328.0,5698.0,136582144.0,599551.0,9397583456.0,7.482948,4.0,4.0,397953.0
1785087135.04,41.176,1.0,30.189617,,5393.0,5754.0,126214016.0,545793.0,9513712080.0,7.579395,0.0,0.0,401619.0
1785087136.042,42.178,1.0,30.926966,,5398.0,6691.0,151897744.0,510351.0,9713094200.0,7.751996,97.0,97.0,410213.0
1785087137.042,43.178,1.0,31.73647,,5598.0,6371.0,169097512.0,669487.0,9936340624.0,7.939789,83.0,83.0,419495.0
1785087138.044,44.18,1.0,32.448861,,5599.0,5883.0,141771088.0,635680.0,10123306456.0,7.989293,77.0,77.0,427461.0
1785087139.045,45.181,1.0,32.845039,,5754.0,10526.0,122653712.0,520475.0,10244813768.0,8.041464,18.0,18.0,431826.0
1785087140.046,46.182,1.0,33.328896,,5971.0,7083.0,181163952.0,740237.0,10375897672.0,8.073898,22.0,22.0,437568.0
1785087141.047,47.183,1.0,34.233084,,6004.0,6286.0,134463512.0,575826.0,10641290928.0,8.203434,6.0,6.0,448929.0
1785087142.047,48.183,1.0,34.955372,,6110.0,6247.0,89628816.0,248840.0,10884997496.0,8.218,1.0,1.0,458867.0
1785087143.049,49.186,1.0,36.587097,,6110.0,6248.0,139638232.0,606242.0,11258494104.0,8.220931,0.0,0.0,474958.0
1785087144.051,50.187,1.0,37.60654,,6110.0,6301.0,136906512.0,591500.0,11574121632.0,8.263155,2.0,2.0,488576.0
1785087145.051,51.187,1.0,39.25325,,6245.0,6666.0,175417928.0,811395.0,12074707552.0,8.491476,16.0,16.0,510500.0
1785087146.616,52.752,1.0,39.575343,,6259.0,6592.0,114343376.0,442572.0,12179005104.0,8.529662,35.0,35.0,514024.0
1785087147.621,53.757,1.0,40.012494,,6262.0,6589.0,129571080.0,531208.0,12275057904.0,8.586476,7.0,7.0,518131.0
1785087148.626,54.762,1.0,41.337604,,6337.0,7461.0,154217912.0,507572.0,12610313400.0,8.82928,105.0,105.0,532331.0
1785087149.97,56.106,1.0,41.364803,,6337.0,7380.0,159912560.0,568913.0,12621126256.0,8.82928,86.0,86.0,532809.0
1785087150.972,57.109,1.0,42.30756,,6440.0,7505.0,154451272.0,687789.0,12935164072.0,8.910195,100.0,100.0,550920.0
1785087152.604,58.74,1.0,43.898903,,6685.0,8132.0,176360256.0,836567.0,13357887984.0,9.471148,20.0,20.0,564668.0
1785087153.822,59.958,1.0,44.143625,,6688.0,7502.0,206120024.0,929052.0,13407835080.0,9.473446,4.0,4.0,566310.0
1785087154.825,60.962,1.0,44.599936,,6690.0,6826.0,109416744.0,388868.0,13519166328.0,9.480403,0.0,0.0,570961.0
1785087155.828,61.965,1.0,44.602268,,6690.0,6826.0,110410120.0,392613.0,13520159704.0,9.480403,0.0,0.0,570961.0
